factor id	best motif	total points in [10%, 90%]	Bergman score	Bergman length	Bigfoot score	Bigfoot length	Down score	Down length	Noyes score	Noyes length	Noyes_hd score	Noyes_hd length	Papatsenko score	Papatsenko length	Pollard score	Pollard length	SeSiMCMC score	SeSiMCMC length
ABD_A	Pollard	32			0	6	10	6	0	7	0	10			15	8	7	8
ANTP	Down	9			0	6	7	12	0	8	0	10			0	6	2	9
AP	SeSiMCMC	11	0	6	2	6	3	7			2	10			0	6	4	8
BCD	Bigfoot	39	0	11	18	8	8	7	0	7	0	10	0	9	10	8	3	8
BRK	SeSiMCMC	9	0	7	0	7	0	8					0	8	0	8	9	10
BR_Z1	SeSiMCMC	14	0	12	4	8	3	9							0	8	7	11
BR_Z2	SeSiMCMC	16	0	10	0	7	2	7							0	8	14	10
BR_Z3	Bigfoot	13	0	9	9	11	2	10							0	8	2	10
BR_Z4	SeSiMCMC	7	0	7	0	8									0	6	7	11
BYN	SeSiMCMC	8	0	12	0	8									0	8	8	12
CAD	Bigfoot	10	0	6	4	9	4	8	0	8	0	10	0	9	2	9	0	7
DEAF1	Down	9			2	9	7	12							0	6	0	9
DFD	SeSiMCMC	13			0	8	0	5	0	7	0	10			0	8	13	11
DL	Bigfoot	31	0	11	15	11	2	10	0	12			0	10	0	10	14	11
DREF	Pollard	8	0	8	3	10									5	12	3	10
EIP74EF	SeSiMCMC	7	0	17	0	8									0	10	7	12
EN	SeSiMCMC	45	0	6	15	8	0	7	0	8	2	10			1	8	27	10
EVE	Pollard	17	0	10	0	8	0	7	0	7	0	10			14	12	3	10
FTZ	SeSiMCMC	53	0	13	5	8			0	9	0	10			0	8	48	11
GRH	Pollard	8	2	16	0	6							0	8	6	10	0	9
GT	Pollard	7			0	7			0	13			0	10	5	12	2	10
HB	Down	82	0	10	26	9	60	9	0	12			0	8	0	8	0	6
KNI	Bigfoot	26			18	13	0	6	0	12			0	9	0	10	8	13
KR	Down	36	0	10	7	10	22	10	0	11			0	9	1	10	6	10
MAD	SeSiMCMC	16			6	11	0	11							3	10	7	11
MED	SeSiMCMC	7			0	11									0	12	7	16
OVO	Down	9	0	9	0	6	6	11							2	8	1	9
PAN	SeSiMCMC	20	0	11	2	6	2	7					0	7	8	8	8	8
PRD	SeSiMCMC	8			0	8	0	6	0	13			0	10	0	8	8	12
SD	SeSiMCMC	16	0	9	2	12									3	12	11	13
SLBO	SeSiMCMC	9	0	10	1	10	0	8							0	8	8	14
SNA	SeSiMCMC	8	0	13	0	9							0	8	3	10	5	13
TIN	Pollard	8	0	7	0	7	0	10			0	10	0	8	8	12	0	10
TLL	Down	30	5	7	0	8	17	10	0	15			0	9	0	7	8	11
TRL	Down	62			20	13	29	12							0	10	13	12
TTK	Pollard	7			0	7			0	14			0	9	6	12	1	10
TWI	Pollard	12			2	8	2	9					0	7	8	12	0	9
UBX	Down	49	0	19	0	6	48	12	0	7	0	10			1	6	0	6
VVL	SeSiMCMC	8			0	6	3	8							0	6	5	9
Z	Pollard	32			0	6	0	6							23	10	9	8
ZEN	Down	9	0	10	0	6	8	11			0	10	0	10	0	10	1	8
